ES_Index_AtomBond	Frequency	AtomIs
11:2_2	5097921	1
8:1_1	1124920	1
34:2	899054	1
8:1_5	809993	1
16:1_2_2	728211	1
16:2_2_2	613313	1
6:1	529698	1
28:2_2	498868	1
16:2_2_11	447506	1
35:1_2	434807	1
11:2_8	356517	1
8:1_2	347603	1
16:2_2_5	323432	1
16:2_2_14	309177	1
17:2_2_2	278765	1
17:2_2_8	274650	1
23:1_2	267650	1
15:1_5_12	249133	1
6:2	239073	1
6:11	217927	1
8:1_11	216391	1
15:2_5_12	204073	1
23:2_2	201671	1
16:2_2_8	198470	1
53:2	197493	1
29:1_1_2	195713	1
37:1	194615	1
33:2	194219	1
34:18	192282	1
29:1_1_1	167556	1
8:2_5	160233	1
12:1_1_1	153406	1
28:2_8	148502	1
33:1	141796	1
12:1_2_5	140738	1
12:1_1_5	136082	1
12:1_1_11	131981	1
6:5	129544	1
16:1_2_8	128580	1
37:2	127905	1
31:1_2_2	124042	1
20:2	105588	1
16:2_5_8	100690	1
12:1_1_2	98589	1
15:1_11_12	97492	1
35:1_1	96942	1
24:2_2	93345	1
10:2_2	90703	1
50:2_2	80001	1
34:9	75970	1
15:2_11_12	71368	1
16:2_2_18	69829	1
11:8_8	69336	1
8:2_11	62435	1
23:1_1	58412	1
15:2_8_12	57524	1
15:2_2_12	57014	1
17:2_8_8	55966	1
29:1_2_2	55840	1
36:2_2	53383	1
8:1_8	51419	1
10:1_2	50450	1
52:2_5_12_12	49926	1
16:5_8_8	49381	1
16:2_8_8	46001	1
18:2_14_14_14	45418	1
25:3	45146	1
15:5_5_12	44186	1
31:2_2_2	41671	1
18:1_1_1_2	39611	1
8:2_8	39518	1
8:2_2	39027	1
20:1	38410	1
31:1_2_8	37497	1
31:2_2_8	37186	1
69:2	36452	1
49:1_2	36186	1
30:2_12_12	36088	1
14:2_10	35849	1
6:8	35799	1
16:1_8_8	35517	1
35:2_2	35388	1
11:2_17	35310	1
16:2_2_3	33888	1
15:1_2_2	33861	1
16:2_2_20	32817	1
12:1_2_11	32499	1
18:1_1_1_1	32333	1
15:1_2_12	31202	1
16:2_2_9	30725	1
15:5_11_12	30418	1
16:2_8_11	29483	1
17:2_2_13	26782	1
28:8_8	26096	1
27:2_5	24451	1
16:2_2_17	24339	1
16:2_2_13	23794	1
8:1_16	23257	1
16:2_2_16	22578	1
18:1_1_1_11	22477	1
23:2_18	22176	1
16:5_8_17	20828	1
17:2_2_17	20797	1
27:1_2	20707	1
15:8_8_12	20159	1
24:2_8	19260	1
22:2	18754	1
28:2_13	18616	1
15:1_1_2	18558	1
8:2_16	18331	1
48:2	17909	1
15:5_5_7	17782	1
12:1_2_2	17504	1
15:1_2_7	17436	1
29:1_1_18	17193	1
27:2_2	16579	1
36:2_8	16527	1
16:1_2_17	15800	1
6:18	15748	1
10:2_7	15461	1
23:2_7	15411	1
15:2_2_2	15349	1
11:2_13	15318	1
18:1_1_2_11	14566	1
12:1_1_8	14393	1
15:2_5_7	14380	1
49:2_2	14176	1
16:1_2_13	13988	1
52:1_5_12_12	13832	1
49:1_1	13536	1
23:1_18	13352	1
7:2	13232	1
16:2_8_13	13212	1
33:5	13169	1
12:2_2_5	13055	1
16:8_8_16	12932	1
27:2_11	12765	1
18:1_1_1_5	12250	1
23:2_11	11915	1
52:1_2_12_12	11179	1
12:1_8_11	11171	1
16:2_2_7	11138	1
15:2_2_7	11052	1
18:1_1_2_5	11002	1
8:11_11	10811	1
15:2_2_5	10746	1
14:2_3	10693	1
23:2_5	10586	1
14:1_3	10307	1
8:1_7	10161	1
16:2_8_17	10090	1
16:2_8_14	9902	1
15:1_1_12	9587	1
20:18	9419	1
8:1_18	9295	1
15:5_5_19	9168	1
18:1_1_2_2	8656	1
15:1_2_5	8302	1
29:2_2_2	8197	1
35:1_7	7990	1
6:16	7984	1
15:2_12_13	7739	1
14:1_10	7521	1
18:1_14_14_14	7513	1
16:1_8_13	7262	1
12:2_2_2	6876	1
15:2_2_11	6729	1
12:1_11_11	6671	1
74:2	6578	1
15:5_7_16	6531	1
8:1_6	6487	1
29:1_2_7	6325	1
15:2_2_16	6246	1
6:6	6155	1
17:2_8_17	6133	1
29:1_2_18	6090	1
16:1_8_17	5947	1
16:2_2_21	5945	1
16:8_8_11	5930	1
27:2_7	5841	1
16:2_8_16	5678	1
18:11_14_14_14	5311	1
47:2	4654	1
52:2_2_12_12	4549	1
15:1_5_7	4543	1
34:8	4435	1
18:1_2_2_11	4389	1
12:2_2_11	4371	1
16:2_5_17	4311	1
50:2_8	4225	1
8:2_18	4140	1
15:1_1_7	4055	1
28:2_17	3957	1
10:2_5	3769	1
12:1_2_8	3753	1
33:7	3724	1
12:1_2_16	3693	1
16:2_3_8	3606	1
18:1_1_11_11	3471	1
9:3	3464	1
15:5_16_19	3396	1
32:1_1_1_1	3396	1
15:1_2_11	3232	1
8:3_5	3193	1
31:2_2_12	3186	1
24:8_8	3163	1
12:1_1_16	3116	1
52:1_1_12_12	3012	1
8:1_3	3007	1
16:5_8_13	3004	1
17:8_8_8	2882	1
15:2_2_3	2878	1
35:1_5	2793	1
29:1_2_5	2791	1
15:5_12_16	2730	1
47:1	2716	1
29:1_2_11	2663	1
16:2_8_18	2639	1
12:1_5_11	2567	1
12:1_1_7	2552	1
35:1_11	2547	1
8:5_5	2512	1
16:2_17_18	2496	1
8:1_14	2459	1
18:1_2_2_5	2411	1
52:5_5_12_12	2391	1
27:2_18	2341	1
12:1_2_7	2308	1
11:8_17	2305	1
17:8_8_17	2293	1
35:2_18	2215	1
12:1_1_18	2207	1
16:2_8_9	2205	1
16:2_14_17	2204	1
12:1_3_5	2175	1
12:2_5_16	2146	1
52:2_11_12_12	2138	1
31:2_2_18	2101	1
16:8_16_17	2060	1
16:2_5_13	2050	1
31:2_2_5	2021	1
12:1_1_14	2005	1
52:2_7_12_12	1999	1
52:2_8_12_12	1952	1
15:8_12_13	1939	1
33:18	1909	1
10:2_12	1900	1
8:2_7	1853	1
49:1_16	1853	1
15:8_8_19	1850	1
12:1_5_16	1848	1
15:2_7_12	1844	1
8:3_11	1799	1
36:8_8	1764	1
18:1_1_14_14	1754	1
15:1_2_3	1706	1
20:5	1703	1
29:2_2_5	1634	1
8:8_11	1608	1
10:5_12	1605	1
12:2_2_8	1605	1
16:8_13_16	1601	1
29:1_1_5	1591	1
51:1_2_12	1588	1
10:1_7	1530	1
52:5_11_12_12	1520	1
15:2_7_11	1500	1
16:8_8_14	1493	1
15:7_8_17	1445	1
16:2_8_20	1411	1
10:1_12	1372	1
15:5_8_12	1365	1
31:1_8_8	1354	1
17:2_8_13	1352	1
8:2_6	1341	1
31:2_2_11	1320	1
15:2_11_11	1312	1
