generated_id,smiles,reward,depth,elapsed_time,is_through_filter,LogP
0,Cc1nc(-c2nc[nH]n2)sc1C(=O)NC1CCN(C(=O)Cn2nccc2C)CC1,0.11573309186670153,1,1.2,1,1.1625399999999995
2,Nc1nc(CSc2ccc3nnc(C(F)F)n3n2)cs1,0.2348250128588177,1,1.2,1,2.3929
6,O=C(c1ccc(F)cc1)N1CCN2C(=O)NC[C@@H]2C1,0.06742753453202928,1,1.2,1,0.6753
7,N#C[C@@H](COC(=O)[C@@H]1SCCc2ccccc21)c1ccccc1,0.368561967809359,1,1.2,1,3.867580000000003
9,c1ccc(-n2cccc2C[NH2+]C2CC2)cc1,0.16868224096459888,1,1.2,1,1.7031000000000003
11,O=C(CN1CC[NH+](Cc2nnnn2C2CC2)CC1)NCc1ccc2c(c1)OCO2,-0.12399855284012194,1,1.2,1,-1.2463999999999957
14,c1ccc(OCCCCN2CCO[C@H]3CCC[C@H]32)cc1,0.30033702271021745,1,1.2,1,3.0989000000000013
15,CC(C)(C)NC(=O)C[C@@H](NC(=O)CCc1ccccc1)c1ccccc1,0.3610997705413,2,2.6,1,3.781500000000003
18,C[C@@H](CC(=O)NCc1ccc(-n2cccn2)nc1)Oc1ccccc1Cl,0.326986289198194,2,2.6,1,3.3945000000000025
20,CN(C)c1nnc(N2CCN(Cc3ccsc3)CC2)s1,0.19620256597077704,2,2.6,1,1.9877999999999996
21,CS(=O)(=O)c1ccc(O)c(C(=O)N2CCc3ccc([N+](=O)[O-])cc32)c1,0.18840215295039428,2,2.6,1,1.9068
22,Cn1nnnc1SCC(=O)NCc1ccccc1-n1cccn1,0.08025701411826891,2,2.6,1,0.8042999999999991
23,C=CC[C@@H](C)Oc1ccccc1C(=O)NC1CCN(S(C)(=O)=O)CC1,0.21497346677828483,2,2.6,1,2.1837999999999997
27,C#CCN(C(=O)N[C@H](CC)c1cc(F)ccc1O)C(C)=O,0.21400993362784876,2,2.6,1,2.1737
28,C[C@]1(c2ccc(F)cc2F)NC(=O)N(CC(=O)c2cccc(C(F)(F)F)c2)C1=O,0.3481613859514528,2,2.6,1,3.6335000000000024
29,CCOc1ccc(NC(=O)c2noc3ccccc23)cc1,0.3344940802870833,2,2.6,1,3.4788000000000014
30,Cc1csc(CSCC(=O)N2C[C@@H](C)CC[C@@H]2C)n1,0.32136807379346094,2,2.6,1,3.3317200000000025
31,COc1ccc(NC(=O)C[NH+](C)Cc2nnc(-c3cccc(C)c3)o2)cc1,0.16906306191412268,2,2.6,1,1.7070200000000002
33,C[C@H](Cc1cccs1)C(=O)NCC1(O)CCOCC1,0.15712739325186473,2,2.6,1,1.5843999999999998
34,CNS(=O)(=O)c1ccc(C(=O)OCc2c[nH]c3ccccc23)cc1,0.2386103055805588,2,2.6,1,2.4330000000000007
35,CSc1ccc(C(=O)Nc2ccccc2C(C)C)cc1[N+](=O)[O-],0.43758504454572833,2,2.6,1,4.692400000000004
36,Cn1cccc(NS(=O)(=O)c2c[nH]c3nccc(Cl)c23)c1=O,0.16991583983488387,2,2.6,1,1.7158
37,C=CCn1c(SCC(=O)Nc2ccccc2C)nnc1-c1ccco1,0.35951778829996667,2,2.6,1,3.763320000000002
38,C[NH+](C)Cc1cccc(NC(=O)Cc2csc(NC(=O)c3ccccc3)n2)c1,0.21852822321154028,2,2.6,1,2.2211
