2,2-dimethyl-4,5-dicarboxy-dithiole	C1(C)(C)SC(C(=O)O)=C(C(=O)O)S1
2,3,4_trihydroxyphenyl	c([OH])c([OH])c([OH])
2,3,5_trihydroxyphenyl	c([OH])c([OH])cc([OH])
acid_anhydrides	C(=O)OC(=O)
acid_halides	[S,C](=[O,S])[F,Br,Cl,I]
Acridine	c1c2cc4ccccc4nc2ccc1
Active_Phosphate	P(=S)([OH1,O$(O[#6])])([OH1,O$(O[#6])])[S,O]
acyl_cyanide	C(=O)-C#N
Adjacent_Ring_Double_Bonds	[*;R]=[*;R]=[*;R]
Aldehyde	[#6][C!H0]=O
Aliphatic_Triflate	COS(=O)(=O)C(F)(F)F
AlkylEnamine	[C;H1$(C([#6;!$(C=O)])),H0$(C([#6;!$(C=O)])[#6;!$(C=O)])]=[CH1]!@N([#6;!$(C(=O))])[#6;!$(C(=O))]
Allene	*=C=*
Alpha_Halo_Carbonyl	[C;!$(C[N])](=O)!@[C;h1,h2;H1,H2][F,Cl,Br,I]
amidotetrazole	c1nnnn1C=O
Amino_Naphtalimide	c1(N)ccc(C(=O)NC3(=O))c(c3ccc2)c21
Aminonitrile	NC#N
Anhydride	[#6]C(=O)OC(=O)[#6]
Any_Carbazide	O=*N=[N+]=[N-]
aromatic_azides	cN=N=N
Azanitrone	N=[N+]([O-])C
azoalkanals	[N;R0]=[N;R0]CC=O
Azobenzene	c1ccccc1[N!r]=[N!r]c2ccccc2
Azocyanamide	[N;R0]=[N;R0]C#N
b-Carbonyl_Quaternary_Nitrogen	C(=O)CC[N+,n+]
benzylic_quaternary_nitrogen	cC[N+,NX4]
beta-carbonyl_quaternary_nitrogen	C(=O)C[N+,n+,NX4,nX4]
Beta-Fluoro-ethyl-ON	[C;H2$(CF),H1$(C(F)F)]!@[CH2][N,O]
biotin_analogue	C12C(NC(N1)=O)CSC2
carbazides	C(=O)N=N=N
carbodiimides	N=C=N
CCl3-CHO_releasing	C(Cl)(Cl)(Cl)C([O,S])[NX3]
Chloramidine	[Cl]C([C&R0])=N
