ES_Index_Bond	Frequency	BondIs
6_8	170415	1
6_10	1273	1
6_12	187433	1
6_14	833	1
6_15	64778	1
6_16	183041	1
6_18	192262	1
6_23	15264	1
6_27	757	1
6_29	117264	1
6_31	36052	1
6_32	6610	1
6_35	223121	1
6_49	8277	1
6_51	748	1
6_52	15621	1
7_10	9314	1
7_13	44	0
7_15	3959	1
7_27	14	0
8_6	170415	1
8_8	1310807	1
8_10	32616	1
8_12	849593	1
8_14	10055	1
8_15	215273	1
8_16	483397	1
8_18	184198	1
8_20	15403	1
8_23	215804	1
8_27	12794	1
8_29	769017	1
8_30	165	1
8_31	95020	1
8_32	8153	1
8_33	40523	1
8_35	272495	1
8_37	3004	1
8_47	2117	1
8_49	43073	1
8_51	2083	1
8_52	12271	1
9_14	3493	1
10_6	1273	1
10_7	9314	1
10_8	32616	1
10_10	47655	1
10_12	16023	1
10_13	83	1
10_14	672	1
10_15	88653	1
10_16	71652	1
10_18	5917	1
10_20	29	0
10_22	53	1
10_23	2707	1
10_27	19346	1
10_29	3998	1
10_30	490	1
10_31	592	1
10_32	13	0
10_33	25	0
10_34	5023	1
10_35	1056	1
10_37	45	0
10_47	1	0
10_48	27	0
10_49	574	1
10_51	40	0
10_52	1128	1
10_53	84	1
10_69	134	1
10_74	136	1
11_11	3049536	1
11_15	18995	1
11_16	4172658	1
11_17	580818	1
11_24	40605	1
11_28	332759	1
11_31	128507	1
11_36	17051	1
11_50	38547	1
12_6	187433	1
12_8	849593	1
12_10	16023	1
12_12	199622	1
12_14	4415	1
12_15	208364	1
12_16	179303	1
12_18	85384	1
12_20	21375	1
12_23	160946	1
12_27	7058	1
12_29	135290	1
12_30	207	1
12_31	32570	1
12_32	1212	1
12_33	86746	1
12_35	123777	1
12_37	7086	1
12_47	617	1
12_49	13296	1
12_51	279	1
12_52	3696	1
13_7	44	0
13_10	83	1
13_13	3	0
13_15	24	0
13_27	554	1
13_34	36	0
13_48	512	1
14_6	833	1
14_8	10055	1
14_9	3493	1
14_10	672	1
14_12	4415	1
14_14	9224	1
14_15	6570	1
14_16	40711	1
14_18	3387	1
14_20	1	0
14_23	709	1
14_25	47171	1
14_27	815	1
14_29	218	1
14_31	35	0
14_33	1	0
14_35	28	0
14_49	198	1
14_52	4	0
14_53	3	0
14_69	3	0
14_74	72	1
15_6	64778	1
15_7	3959	1
15_8	215273	1
15_10	88653	1
15_11	18995	1
15_12	208364	1
15_13	24	0
15_14	6570	1
15_15	120120	1
15_16	402200	1
15_17	43165	1
15_18	51595	1
15_20	50123	1
15_22	19492	1
15_23	439101	1
15_24	33787	1
15_26	7	0
15_27	76137	1
15_28	4653	1
15_29	222018	1
15_30	918	1
15_31	80539	1
15_32	26	0
15_33	99968	1
15_34	921315	1
15_35	125884	1
15_36	11135	1
15_37	563	1
15_47	2835	1
15_48	20103	1
15_49	23542	1
15_50	3970	1
15_51	73	1
15_52	843	1
15_53	1717	1
15_69	1168	1
15_74	160	1
16_6	183041	1
16_8	483397	1
16_10	71652	1
16_11	4172658	1
16_12	179303	1
16_14	40711	1
16_15	402200	1
16_16	1013057	1
16_17	240907	1
16_18	112928	1
16_20	58086	1
16_23	308718	1
16_24	63233	1
16_26	13	0
16_27	14832	1
16_28	635753	1
16_29	143564	1
16_30	37005	1
16_31	180057	1
16_32	291	1
16_33	96842	1
16_35	396564	1
16_36	70848	1
16_37	128699	1
16_47	2078	1
16_49	46122	1
16_50	97332	1
16_51	2672	1
16_52	76295	1
16_53	203401	1
16_69	36869	1
16_74	6502	1
17_11	580818	1
17_15	43165	1
17_16	240907	1
17_17	349879	1
17_24	71072	1
17_28	208321	1
17_31	129720	1
17_36	29896	1
17_50	30281	1
18_6	192262	1
18_8	184198	1
18_10	5917	1
18_12	85384	1
18_14	3387	1
18_15	51595	1
18_16	112928	1
18_18	15765	1
18_20	2420	1
18_23	17363	1
18_27	3129	1
18_29	12953	1
18_30	45	0
18_31	1549	1
18_32	42	0
18_33	20120	1
18_35	44016	1
18_37	190141	1
18_47	56	1
18_49	3955	1
18_51	150	1
18_52	2235	1
20_8	15403	1
20_10	29	0
20_12	21375	1
20_14	1	0
20_15	50123	1
20_16	58086	1
20_18	2420	1
20_23	1391	1
20_27	197	1
20_29	386	1
20_31	627	1
20_32	3	0
20_35	67	1
20_49	21	0
20_51	24	0
20_52	9682	1
22_10	53	1
22_15	19492	1
22_27	6	0
22_51	2	0
23_6	15264	1
23_8	215804	1
23_10	2707	1
23_12	160946	1
23_14	709	1
23_15	439101	1
23_16	308718	1
23_18	17363	1
23_20	1391	1
23_23	3469	1
23_27	17570	1
23_29	4412	1
23_30	246	1
23_31	1354	1
23_32	2	0
23_33	10769	1
23_35	1397	1
23_47	1	0
23_49	102	1
23_51	103	1
23_52	37273	1
23_53	3	0
24_11	40605	1
24_15	33787	1
24_16	63233	1
24_17	71072	1
24_24	192	1
24_28	23612	1
24_31	1379	1
24_36	42	0
24_50	162	1
25_14	47171	1
26_15	7	0
26_16	13	0
27_6	757	1
27_7	14	0
27_8	12794	1
27_10	19346	1
27_12	7058	1
27_13	554	1
27_14	815	1
27_15	76137	1
27_16	14832	1
27_18	3129	1
27_20	197	1
27_22	6	0
27_23	17570	1
27_27	4089	1
27_29	9270	1
27_30	544	1
27_31	1357	1
27_32	3	0
27_33	3804	1
27_34	620	1
27_35	10189	1
27_48	15	0
27_49	45	0
27_51	163	1
27_52	2355	1
28_11	332759	1
28_15	4653	1
28_16	635753	1
28_17	208321	1
28_24	23612	1
28_28	51906	1
28_31	78504	1
28_36	18132	1
28_50	4760	1
29_6	117264	1
29_8	769017	1
29_10	3998	1
29_12	135290	1
29_14	218	1
29_15	222018	1
29_16	143564	1
29_18	12953	1
29_20	386	1
29_23	4412	1
29_27	9270	1
29_29	1159	1
29_30	26	0
29_31	375	1
29_32	4	0
29_33	2255	1
29_35	2073	1
29_47	4	0
29_49	634	1
29_51	103	1
29_52	24949	1
29_53	102	1
29_69	3	0
29_74	3	0
30_8	165	1
30_10	490	1
30_12	207	1
30_15	918	1
30_16	37005	1
30_18	45	0
30_23	246	1
30_27	544	1
30_29	26	0
30_31	3	0
30_34	81390	1
30_35	1045	1
31_6	36052	1
31_8	95020	1
31_10	592	1
31_11	128507	1
31_12	32570	1
31_14	35	0
31_15	80539	1
31_16	180057	1
31_17	129720	1
31_18	1549	1
31_20	627	1
31_23	1354	1
31_24	1379	1
31_27	1357	1
31_28	78504	1
31_29	375	1
31_30	3	0
31_31	1311	1
31_33	993	1
31_34	4600	1
31_35	513	1
31_36	1292	1
31_37	1	0
31_49	40	0
31_50	1156	1
31_51	3	0
31_52	2266	1
31_53	1	0
31_69	1	0
32_6	6610	1
32_8	8153	1
32_10	13	0
32_12	1212	1
32_15	26	0
32_16	291	1
32_18	42	0
32_20	3	0
32_23	2	0
32_27	3	0
32_29	4	0
32_34	258	1
32_35	7	0
33_8	40523	1
33_10	25	0
33_12	86746	1
33_14	1	0
33_15	99968	1
33_16	96842	1
33_18	20120	1
33_23	10769	1
33_27	3804	1
33_29	2255	1
33_31	993	1
33_35	30	0
33_49	3	0
33_51	8	0
33_52	2095	1
34_10	5023	1
34_13	36	0
34_15	921315	1
34_27	620	1
34_30	81390	1
34_31	4600	1
34_32	258	1
34_51	3219	1
34_52	194404	1
35_6	223121	1
35_8	272495	1
35_10	1056	1
35_12	123777	1
35_14	28	0
35_15	125884	1
35_16	396564	1
35_18	44016	1
35_20	67	1
35_23	1397	1
35_27	10189	1
35_29	2073	1
35_30	1045	1
35_31	513	1
35_32	7	0
35_33	30	0
35_35	1446	1
35_37	2	0
35_49	97	1
35_51	126	1
35_52	3644	1
35_53	2	0
36_11	17051	1
36_15	11135	1
36_16	70848	1
36_17	29896	1
36_24	42	0
36_28	18132	1
36_31	1292	1
36_36	2	0
37_8	3004	1
37_10	45	0
37_12	7086	1
37_15	563	1
37_16	128699	1
37_18	190141	1
37_31	1	0
37_35	2	0
47_8	2117	1
47_10	1	0
47_12	617	1
47_15	2835	1
47_16	2078	1
47_18	56	1
47_23	1	0
47_29	4	0
47_49	1	0
48_10	27	0
48_13	512	1
48_15	20103	1
48_27	15	0
49_6	8277	1
49_8	43073	1
49_10	574	1
49_12	13296	1
49_14	198	1
49_15	23542	1
49_16	46122	1
49_18	3955	1
49_20	21	0
49_23	102	1
49_27	45	0
49_29	634	1
49_31	40	0
49_33	3	0
49_35	97	1
49_47	1	0
49_49	1566	1
49_51	32	0
49_52	39	0
49_53	1	0
49_74	1	0
50_11	38547	1
50_15	3970	1
50_16	97332	1
50_17	30281	1
50_24	162	1
50_28	4760	1
50_31	1156	1
50_50	117	1
51_6	748	1
51_8	2083	1
51_10	40	0
51_12	279	1
51_15	73	1
51_16	2672	1
51_18	150	1
51_20	24	0
51_22	2	0
